State,District,sector,export_usd,export_inr,avg_pci,eci
HARYANA,ROHTAK,footwear,304088,25703667,-0.9828484684870582,0.33551229887189
HARYANA,SONIPAT,footwear,1313721,111275880,-0.8107467618190141,0.0149600576294903
HARYANA,UNSPECIFIED,footwear,284531,23785354,-1.0114872501226173,-0.4219230361370081
HARYANA,YAMUNANAGAR,footwear,361460,30232335,-0.9943290848461777,0.425653355773931
HIMACHAL PRADESH,SIRMAUR,footwear,5280,444870,-0.857028516865121,0.1963455590787245
HIMACHAL PRADESH,SOLAN,footwear,150753,12679928,-1.3517194997555098,0.129720369184231
HIMACHAL PRADESH,UNSPECIFIED,footwear,1717,143560,-0.8570285168651209,-0.4219230361370081
JAMMU AND KASHMIR,SRINAGAR,footwear,6880,597572,-0.9320217044963992,-0.3285240548493461
KARNATAKA,BELAGAVI,footwear,1896,158941,-0.9932943818815556,0.3908881527042498
KARNATAKA,BENGALURU RURAL,footwear,936181,79401351,-0.8917790381974514,0.4551296527017154
KARNATAKA,BENGALURU URBAN,footwear,11850612,1002982844,-0.9907820062789117,0.3462460589053281
KARNATAKA,DAKSHINA KANNADA,footwear,1700,143386,-0.953050989842792,-0.4908368570653691
KARNATAKA,MYSURU,footwear,7251,605752,-0.9810103904997686,0.3805823696093739
KARNATAKA,RAMANAGARA,footwear,1473,123157,-0.9932943818815557,0.2828762880294536
KARNATAKA,UTTARA KANNADA,footwear,25264,2108778,-0.9932943818815556,-0.3341653118321397
KERALA,ERNAKULAM,footwear,452712,38178189,-0.9614782907745792,-0.3737850523073689
KERALA,IDUKKI,footwear,17322,1500707,-1.2192816673388644,-0.7242215110364366
KERALA,KANNUR,footwear,387420,32742180,-0.77154855053737,-0.6611616236784598
KERALA,KASARAGOD,footwear,18482,1548972,-1.0884853034275128,-0.0378944337020638
KERALA,KOLLAM,footwear,13175,1136533,-0.9932943818815556,-0.6336063751535183
KERALA,KOTTAYAM,footwear,1075088,91524247,-1.24593314120563,-0.6406312176160482
KERALA,KOZHIKODE,footwear,1531194,129634870,-1.2966249850346478,-0.1754540144629374
KERALA,MALAPPURAM,footwear,3879444,329019070,-1.3425161250360615,-0.4857420934228948
KERALA,PALAKKAD,footwear,162255,13850972,-1.3170365242746307,-0.5057410748211003
KERALA,THIRUVANANTHAPURAM,footwear,49150,4215993,-1.2728463310648424,-0.3068461617011266
KERALA,THRISSUR,footwear,79637,6758372,-1.100391511066132,-0.3207997956008157
KERALA,WAYANAD,footwear,39390,3347391,-1.1171041926467498,-0.6977154079759309
MADHYA PRADESH,AGAR MALWA,footwear,72653,6143919,-1.0275568746485908,-0.2465825994149656
MADHYA PRADESH,BHOPAL,footwear,35523,3051191,-1.2370140240784329,0.1047408929448233
MADHYA PRADESH,GWALIOR,footwear,1489306,125915323,-0.9923153966317523,-0.2484386334490886
MADHYA PRADESH,INDORE,footwear,326542,27736757,-1.130808924734692,-0.0113482748729643
MADHYA PRADESH,MORENA,footwear,52943,4415109,-0.9932943818815556,-0.5506748258374985
MAHARASHTRA,AHMEDNAGAR,footwear,35083,3019974,-1.2570356716822293,0.3541838194169215
MAHARASHTRA,AMRAVATI,footwear,34584,2894047,-1.1354266045074934,-0.2757531708681635
MAHARASHTRA,AURANGABAD,footwear,4631,387133,-0.9932943818815557,0.4099056912337877
MAHARASHTRA,CHANDRAPUR,footwear,1601,138146,-0.9932943818815556,0.1986142959184505
MAHARASHTRA,DHULE,footwear,1786,149860,-0.9932943818815555,-0.5557668443842674
MAHARASHTRA,KOLHAPUR,footwear,1370,114251,-0.857028516865121,0.1255000683866052
MAHARASHTRA,MUMBAI,footwear,26426902,2250000500,-1.0521866081918938,0.0748924041027103
MAHARASHTRA,MUMBAI SUBURBAN,footwear,9551766,814288381,-1.0306069541410765,0.0901055526106246
MAHARASHTRA,NAGPUR,footwear,118373,10078160,-0.986297339382141,0.1051229308339104
MAHARASHTRA,NASHIK,footwear,8473,709362,-0.8949346473789573,0.1583715109466549
MAHARASHTRA,PALGHAR,footwear,19648851,1681729384,-0.9876055386471777,0.412904057879663
MAHARASHTRA,PUNE,footwear,402861,34201684,-0.9117309840294227,0.5231796355604896
MAHARASHTRA,RAIGAD,footwear,684648,58451178,-1.1221763640910676,0.1955299646766656
MAHARASHTRA,SANGLI,footwear,3678,306775,-0.9932943818815556,-0.2481353978792841
MAHARASHTRA,THANE,footwear,16649056,1420506180,-1.0009961560097485,0.2537470398611005
ODISHA,SUNDARGARH,footwear,4438,382826,-0.9932943818815556,0.017969924523795
PUDUCHERRY,PONDICHERRY,footwear,604864,51406207,-0.6919577329127307,0.2169940952009228
PUNJAB,AMRITSAR,footwear,58353,4947642,-0.8121285744050832,0.031592372455557
PUNJAB,BATHINDA,footwear,2858,240303,-0.953050989842792,-0.0377447807163098
PUNJAB,FARIDKOT,footwear,2207,191197,-0.9932943818815557,-0.7964205687819671
PUNJAB,GURDASPUR,footwear,33171,2856789,-0.910032280279763,0.4891608850815934
PUNJAB,HOSHIARPUR,footwear,1508,127197,-0.9932943818815556,0.238098380515961
PUNJAB,JALANDHAR,footwear,6978323,589902458,-0.9717802556429932,0.247347012407222
PUNJAB,KAPURTHALA,footwear,4092,354647,-0.9932943818815556,0.3534192138484991
PUNJAB,LUDHIANA,footwear,742930,62645030,-0.9614114701729606,0.1566288948925656
PUNJAB,MALERKOTLA,footwear,8330,698875,-0.910032280279763,
PUNJAB,MOGA,footwear,33769,2921394,-0.9896286330020735,-0.2494228016582345
PUNJAB,PATIALA,footwear,1611354,136709113,-0.9113369642604034,0.1166411251522996
PUNJAB,S.A.S NAGAR,footwear,161769,13760831,-0.8737017169334081,0.2863006628405653
PUNJAB,SANGRUR,footwear,76711,6470927,-0.9635051569207613,9.272890052161082e-05
PUNJAB,UNSPECIFIED,footwear,24915,2082755,-0.941923555029801,-0.4219230361370081
RAJASTHAN,AJMER,footwear,112127,9405524,-1.2483094299207234,-0.2595069594585996
RAJASTHAN,ALWAR,footwear,4471631,382065046,-1.1465622444770842,0.4140613066026606
RAJASTHAN,BHILWARA,footwear,208502,17667060,-0.9914575054775141,-0.2941251489919322
RAJASTHAN,JAIPUR,footwear,9506312,804801618,-1.0602508407005575,-0.1089103983676289
RAJASTHAN,JODHPUR,footwear,3136136,265823720,-0.9975927247259894,-0.1753803972319298
RAJASTHAN,KOTA,footwear,5176,439903,-0.9932943818815557,-0.1244678005209876
RAJASTHAN,RAJSAMAND,footwear,208384,18054068,-0.9932943818815555,-0.1391595497937336
RAJASTHAN,SIKAR,footwear,1585070,135213203,-1.3169132440201583,-0.352315622275076
RAJASTHAN,UDAIPUR,footwear,371295,31396950,-1.2025931319989465,0.1833192697127616
RAJASTHAN,UNSPECIFIED,footwear,69078,5774578,-1.3610947493465997,-0.4219230361370081
TAMIL NADU,CHENNAI,footwear,283111338,23869556403,-0.8962950103074055,0.0587676207377288
TAMIL NADU,COIMBATORE,footwear,4424675,374518555,-1.345593605861731,0.1216243093405243
TAMIL NADU,CUDDALORE,footwear,11482,996825,-0.6306828622119328,-0.0694368648837842
TAMIL NADU,DHARMAPURI,footwear,7970,682983,-0.6306828622119328,-0.3738615779518937
TAMIL NADU,DINDIGUL,footwear,118876,9989188,-0.9932943818815556,-0.7332705440453543
TAMIL NADU,ERODE,footwear,149043,12482601,-0.9103948031705473,-0.5296151920164537
TAMIL NADU,KANCHIPURAM,footwear,27480640,2325511918,-0.8319912344929457,0.6058645777840125
TAMIL NADU,KANNIYAKUMARI,footwear,61384,5219167,-0.9854825811029678,-0.6264521525002423
TAMIL NADU,KARUR,footwear,45496,3883148,-0.8570285168651208,-0.7657981108256146
TAMIL NADU,KRISHNAGIRI,footwear,81016113,6904440491,-1.0673867702306465,0.2855609263412558
TAMIL NADU,MADURAI,footwear,148798,12440761,-0.691889133706804,-0.3629686847637365
TAMIL NADU,NAGAPATTINAM,footwear,17041,1423529,-1.113103069153339,-0.4639598711260679
TAMIL NADU,NAMAKKAL,footwear,1209,102744,-0.8570285168651208,-0.6595639901762357
TAMIL NADU,PERAMBALUR,footwear,1317062,114021689,-1.3610947493465997,-0.9074335948727006
TAMIL NADU,PUDUKKOTTAI,footwear,7374,619572,-1.3610947493465997,0.1069487538056827
TAMIL NADU,RAMANATHAPURAM,footwear,8758,742873,-1.3610947493465997,-0.7414536621869918
TAMIL NADU,SALEM,footwear,13350,1156944,-0.9260984356150602,-0.5297791143335725
TAMIL NADU,THENI,footwear,5779,482959,-0.9932943818815557,-0.9486264503079584
TAMIL NADU,THIRUVALLUR,footwear,47467961,4014296319,-0.9641842002394163,0.4235701299519703
TAMIL NADU,TIRUNELVELI,footwear,29182,2440102,-0.9707854818905837,-0.3543805315885694
TAMIL NADU,TIRUPPUR,footwear,1245602,105700341,-0.8799151136417368,-0.7154668657849483
TAMIL NADU,TIRUVANNAMALAI,footwear,261494335,22103185822,-0.9810168828813679,-0.1695473656693221
TAMIL NADU,TUTICORIN,footwear,32168,2720963,-0.9989786626094346,-0.7981358642186965
TAMIL NADU,UNSPECIFIED,footwear,7148124,599601406,-1.3610947493465997,-0.4219230361370081
TAMIL NADU,VELLORE,footwear,417539434,35284402522,-0.9372787990786048,0.0437317124580387
TAMIL NADU,VILLUPURAM,footwear,18366037,1566459428,-1.1465291639324366,-0.1971899201099516
TELANGANA,HYDERABAD,footwear,518378,43940454,-0.8520023039379497,0.3397369719829773
TELANGANA,MAHABUBNAGAR,footwear,3594,311343,-0.9932943818815556,-0.2321940217980401
UNSPECIFIED,UNSPECIFIED,footwear,1194,99550,-0.9530509898427919,-0.4219230361370081
UTTAR PRADESH,AGRA,footwear,461659030,38998222824,-1.0028660121387687,0.0877166915167575
UTTAR PRADESH,ALIGARH,footwear,170802,14388184,-0.9932943818815555,-0.0346288590807399
UTTAR PRADESH,BAHRAICH,footwear,44949,3771852,-0.9349150981563286,-0.4626637769766424
UTTAR PRADESH,BHADOHI,footwear,16929,1443195,-0.910032280279763,-0.4082642777659798
UTTAR PRADESH,FIROZABAD,footwear,586138,50044676,-0.9913660644771044,0.0491853441690483
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,footwear,64100871,5418185492,-0.9904791522554964,0.1408355060696265
UTTAR PRADESH,GHAZIABAD,footwear,1024024,85956489,-1.0267173810302272,0.2992819560009075
UTTAR PRADESH,GORAKHPUR,footwear,254068,21383001,-1.0634461394303512,0.0971620562015561
UTTAR PRADESH,JALAUN,footwear,49960,4309887,-0.9410822445500391,0.3569399772308191
UTTAR PRADESH,JAUNPUR,footwear,6205,540141,-0.9932943818815557,0.1340798673576092
UTTAR PRADESH,KANNAUJ,footwear,1142,98879,-0.9932943818815556,-0.0772010853405544
UTTAR PRADESH,KANPUR DEHAT,footwear,46414054,3932320317,-0.9969489859928146,-0.2271203526648038
UTTAR PRADESH,KANPUR NAGAR,footwear,212395445,17965680792,-0.895948359584026,0.0016568813292205
UTTAR PRADESH,KHERI,footwear,7250,611120,-0.9345400492202078,-0.4766094621645831
UTTAR PRADESH,LUCKNOW,footwear,663819,55794047,-1.0050674053786512,0.1305457021236486
UTTAR PRADESH,MAHARAJGANJ,footwear,174612,14796048,-0.8249368483593421,-0.2001585120336787
UTTAR PRADESH,MATHURA,footwear,289024,24268146,-0.9772154020718495,-0.1139248886732095
UTTAR PRADESH,MEERUT,footwear,601614,50958081,-0.9664579591483187,0.095560223902199
UTTAR PRADESH,MORADABAD,footwear,204151,17338818,-1.0180975500533387,0.0342532914139596
UTTAR PRADESH,PRAYAGRAJ,footwear,2698,234900,-0.910032280279763,0.1210447367419372
UTTAR PRADESH,RAMPUR,footwear,106216,8955440,-1.0017746776931273,0.1890484110169613
UTTAR PRADESH,SAHARANPUR,footwear,1833,154660,-0.9932943818815556,0.0567185468898381
UTTAR PRADESH,SAMBHAL,footwear,16910,1410147,-0.9932943818815556,-0.0848140088282622
UTTAR PRADESH,SIDDHARTH NAGAR,footwear,63623,5328759,-1.04717641857645,-0.9760282232192088
UTTAR PRADESH,UNNAO,footwear,73674193,6236000980,-0.976378097401456,-0.4343218338351219
UTTAR PRADESH,VARANASI,footwear,136087,11697642,-1.0036566077363158,-0.0772801132073565
UTTARAKHAND,CHAMPAWAT,footwear,206237,17396917,-0.9132653681758951,-0.1941861110287309
UTTARAKHAND,DEHRADUN,footwear,1789361,152763368,-1.1877634681260132,0.1819393779537213
UTTARAKHAND,HARIDWAR,footwear,204833,17236506,-0.9886506069370634,0.4141303975567337
UTTARAKHAND,NAINITAL,footwear,5462,464451,-0.9932943818815556,-0.0389243717863798
UTTARAKHAND,UDAM SINGH NAGAR,footwear,191749,16286230,-0.8608041847477816,0.2795405104441681
WEST BENGAL,24 PARAGANAS NORTH,footwear,1180941,99601324,-0.9932943818815557,-0.3837899273661025
WEST BENGAL,24 PARAGANAS SOUTH,footwear,8202590,695914212,-0.9642128935888553,-0.0690352101550164
WEST BENGAL,ALIPURDUAR,footwear,2072709,176319627,-1.0524444866123002,0.0268799737122588
WEST BENGAL,DARJEELING,footwear,328099,27701468,-1.0365253370124956,-0.0050649251230391
WEST BENGAL,HOOGHLY,footwear,9955,834330,-0.9932943818815557,0.052991009546951
WEST BENGAL,HOWRAH,footwear,66902,5730515,-0.9715219047080935,0.0122567411135734
WEST BENGAL,JALPAIGURI,footwear,692745,58841295,-1.26641501952093,-0.1827979277823915
WEST BENGAL,KOLKATA,footwear,8654956,730104380,-0.9193293247475551,-0.133031493217226
ANDHRA PRADESH,ANANTAPUR,auto,545781502,46075484103,0.878209939540423,-0.0977500352199152
ANDHRA PRADESH,CHITTOOR,auto,347527022,29412893468,0.6249184352028896,0.0623520068448328
ANDHRA PRADESH,EAST GODAVARI,auto,526836,44602543,1.0752229822550672,-0.3449114943712975
ANDHRA PRADESH,GUNTUR,auto,233138,19573793,0.7353972400820651,-0.9620390838730972
ANDHRA PRADESH,KRISHNA,auto,30488,2623973,0.9157768927049073,0.0561678974438416
ANDHRA PRADESH,PRAKASAM,auto,3406,285947,1.0752229822550672,-0.664565140975591
ANDHRA PRADESH,SPSR NELLORE,auto,63139980,5347931763,1.0752229822550672,-0.1061269467905504
ANDHRA PRADESH,UNSPECIFIED,auto,87993,7337959,1.0540313547550428,-0.4219230361370081
ANDHRA PRADESH,VISAKHAPATANAM,auto,14700993,1239627163,1.07194248957943,-0.0463641158258687
ANDHRA PRADESH,Y.S.R.,auto,139970,11765922,0.8604385602113064,-0.3252020196525275
ARUNACHAL PRADESH,CHANGLANG,auto,14072,1219149,1.0752229822550672,
ARUNACHAL PRADESH,EAST SIANG,auto,156473,13061975,0.9554951788055499,0.8639582740979743
ARUNACHAL PRADESH,LOHIT,auto,15952,1335209,1.0752229822550672,
ARUNACHAL PRADESH,LOWER SUBANSIRI,auto,17722,1484055,0.8924245338483388,
ARUNACHAL PRADESH,PAPUM PARE,auto,122590,10241761,1.0049550517886476,-0.3390301840293432
ARUNACHAL PRADESH,SIANG,auto,3989,334663,1.0098176481778767,
ASSAM,BAKSA,auto,84537,7107388,1.040723546612715,-0.0001445082563627
ASSAM,BARPETA,auto,2844,241686,1.0752229822550672,-0.2761341836108845
ASSAM,BONGAIGAON,auto,20289,1692205,0.7470900535036922,-0.7098932484493572
ASSAM,CHARAIDEO,auto,34250,2981635,0.6878091933691496,
ASSAM,GOLAGHAT,auto,119165,9946940,0.6936741241386726,-0.4140921091450458
ASSAM,KAMRUP,auto,2508119,212581514,0.7400732824254749,0.0816067015181006
ASSAM,KAMRUP METRO,auto,973634,82538203,0.7815580142321814,0.0992653078885537
ASSAM,SIVASAGAR,auto,7063,590292,1.0752229822550672,0.2996320817978646
BIHAR,ARARIA,auto,82132,6965319,1.0403781413504323,-0.2999732218240679
BIHAR,AURANGABAD,auto,687542,58382168,0.36669662000939557,0.4099056912337877
BIHAR,BANKA,auto,17813,1486905,0.7204218209122486,
BIHAR,BHAGALPUR,auto,14767,1277513,0.7275816118665459,-0.5581795105660433
BIHAR,KATIHAR,auto,8623,728537,1.0752229822550672,-0.8122558781358356
BIHAR,MUZAFFARPUR,auto,33947,2856094,0.7030446312035002,0.0911970582255464
BIHAR,PATNA,auto,1440784,122103270,0.2580312700703293,0.1826043732956222
BIHAR,PURBI CHAMPARAN,auto,2097383,177906032,0.7890074955348191,-0.2746862987047244
BIHAR,SITAMARHI,auto,11184,944932,0.2752610274486221,-0.5986157604199571
BIHAR,SIWAN,auto,17898,1500000,0.174525015215932,0.4868980854544544
BIHAR,SUPAUL,auto,46814,4038430,1.0752229822550672,-0.4374872182957659
CHANDIGARH,CHANDIGARH,auto,6330652,538256335,0.39005489313938246,0.4793114084716205
CHHATTISGARH,BILASPUR,auto,474747,40166974,0.7041112654671235,0.1760123722767529
CHHATTISGARH,DURG,auto,1153318,97263723,1.0087733660950449,0.1760594440297705
CHHATTISGARH,JANJGIR-CHAMPA,auto,162900,13600000,0.7041112654671235,-0.2909845465487609
CHHATTISGARH,MAHASAMUND,auto,81654,6974013,1.0752229822550672,
CHHATTISGARH,RAIGARH,auto,2231,187159,1.0752229822550672,-0.0716447496034086
CHHATTISGARH,RAIPUR,auto,720226,60469604,0.32981592207699945,-0.2113202430314011
"DADRA,NH,DAMAN,DIU",DADRA AND NAGAR HAVELI,auto,3865476,327493114,0.9625173984060158,0.247746126727345
"DADRA,NH,DAMAN,DIU",DAMAN,auto,13431,1127072,1.0752229822550672,0.3509599225734087
DELHI,CENTRAL,auto,21405838,1813220336,0.8924017563206065,0.1611949992022413
DELHI,EAST,auto,6252101,531506635,0.9372318600067868,0.0257627549658056
DELHI,NEW DELHI,auto,106908702,9044432927,0.8751669990147685,0.1463742811631497
DELHI,NORTH,auto,11032788,932827037,1.0524750011594808,0.2033447832606612
DELHI,NORTH EAST,auto,5697825,480310455,0.9051599560404003,0.0439901364677104
DELHI,NORTH WEST,auto,21054670,1789656476,1.0109335104995667,0.1659749131902959
DELHI,SHAHDARA,auto,845020,71276826,1.0340811148839977,0.0967790027931373
DELHI,SOUTH,auto,4145049,350364418,0.9534322485767344,0.1020149067809984
DELHI,SOUTH EAST,auto,819039,69299669,1.0621196541110867,0.1289029501287719
DELHI,SOUTH WEST,auto,12225514,1034106536,1.02298277355243,0.4726720277513417
DELHI,UNSPECIFIED,auto,716959,59934209,0.811632243877304,-0.4219230361370081
DELHI,WEST,auto,26973159,2290215742,1.015949466367934,0.1501424073349554
GOA,NORTH GOA,auto,528957,44985565,0.22250087189488252,0.3300006861854641
GOA,SOUTH GOA,auto,2744123,231918608,0.553460607636219,0.2746663627653802
GUJARAT,AHMADABAD,auto,1375878782,116577838335,0.7128564127942316,0.159427009839546
GUJARAT,AMRELI,auto,4479248,379548902,0.8403710878059661,-0.9779415738433735
GUJARAT,ANAND,auto,183394,15412051,0.8203756372596611,-0.1064698426817293
GUJARAT,BANAS KANTHA,auto,1876235,159189117,1.047490603061796,-0.5204888189718198
GUJARAT,BHARUCH,auto,3022478,255767925,1.0687236190059581,0.454704745469305
GUJARAT,BHAVNAGAR,auto,5059082,427401492,0.2984357292792706,-0.0618839365498708
GUJARAT,BOTAD,auto,2477248,209584112,1.0744391616969737,-0.4211782014110243
GUJARAT,CHHOTAUDEPUR,auto,150956,12661434,0.2752610274486221,-0.2395993189591413
GUJARAT,DEVBHUMI DWARKA,auto,455062,39306062,0.851707868833161,-1.1200497187389626
GUJARAT,GANDHINAGAR,auto,1225612,103453585,0.6190578032968611,0.1475228918871846
GUJARAT,JAMNAGAR,auto,1504411,127213998,1.0352659249584126,0.0928656929460463
GUJARAT,KACHCHH,auto,28694658,2417977207,0.8173737162004829,-0.17709514013271
